full_licence_name,osi_approved,matching_paragraph,paragraph_before
CeCILL FREE SOFTWARE LICENSE AGREEMENT,N/A (Local Search Only),"11.4 In the event that one or more of the provisions hereof were to conflict with a current or future applicable act or legislative text, said act or legislative text shall prevail, and the Parties shall make the necessary amendments so as to comply with said act or legislative text. All other provisions shall remain effective. Similarly, invalidity of a provision of the Agreement, for any reason whatsoever, shall not cause the Agreement as a whole to be invalid.","11.3 The Agreement cancels and replaces any or all previous agreements, whether written or oral, between the Parties and having the same purpose, and constitutes the entirety of the agreement between said Parties concerning said purpose. No supplement or modification to the terms and conditions hereof shall be effective as between the Parties unless it is made in writing and signed by their duly authorized representatives."
CeCILL FREE SOFTWARE LICENSE AGREEMENT,N/A (Local Search Only),"11.4 In the event that one or more of the provisions hereof were to conflict with a current or future applicable act or legislative text, said act or legislative text shall prevail, and the Parties shall make the necessary amendments so as to comply with said act or legislative text. All other provisions shall remain effective. Similarly, invalidity of a provision of the Agreement, for any reason whatsoever, shall not cause the Agreement as a whole to be invalid.","11.3 The Agreement cancels and replaces any or all previous agreements, whether written or oral, between the Parties and having the same purpose, and constitutes the entirety of the agreement between said Parties concerning said purpose. No supplement or modification to the terms and conditions hereof shall be effective as between the Parties unless it is made in writing and signed by their duly authorized representatives."
CeCILL-B FREE SOFTWARE LICENSE AGREEMENT,N/A (Local Search Only),"11.4 In the event that one or more of the provisions hereof were to conflict with a current or future applicable act or legislative text, said act or legislative text shall prevail, and the Parties shall make the necessary amendments so as to comply with said act or legislative text. All other provisions shall remain effective. Similarly, invalidity of a provision of the Agreement, for any reason whatsoever, shall not cause the Agreement as a whole to be invalid.","11.3 The Agreement cancels and replaces any or all previous agreements, whether written or oral, between the Parties and having the same purpose, and constitutes the entirety of the agreement between said Parties concerning said purpose. No supplement or modification to the terms and conditions hereof shall be effective as between the Parties unless it is made in writing and signed by their duly authorized representatives."
CeCILL-C FREE SOFTWARE LICENSE AGREEMENT,N/A (Local Search Only),"11.4 In the event that one or more of the provisions hereof were to conflict with a current or future applicable act or legislative text, said act or legislative text shall prevail, and the Parties shall make the necessary amendments so as to comply with said act or legislative text. All other provisions shall remain effective. Similarly, invalidity of a provision of the Agreement, for any reason whatsoever, shall not cause the Agreement as a whole to be invalid.","11.3 The Agreement cancels and replaces any or all previous agreements, whether written or oral, between the Parties and having the same purpose, and constitutes the entirety of the agreement between said Parties concerning said purpose. No supplement or modification to the terms and conditions hereof shall be effective as between the Parties unless it is made in writing and signed by their duly authorized representatives."
DL-DE->BY-2.0,N/A (Local Search Only),"(3) Changes, editing, new designs or other amendments must be marked as such in the source note.",This applies only if the entity keeping the data provides the pieces of information 1-3 for the source note.
FREE SOFTWARE LICENSING AGREEMENT CeCILL,N/A (Local Search Only),"11.4. In the event that one or several of the provisions hereof were to conflict with a current or future applicable act or legislative text, said act or legislative text shall take precedence, and the Parties shall make the necessary amendments so as to be in compliance with said act or legislative text. All the other provisions shall remain effective. Similarly, the fact that a provision of the Agreement may be null and void, for any reason whatsoever, shall not cause the Agreement as a whole to be null and void.","11.3. The Agreement cancels and replaces any or all previous agreement, whether written or oral, between the Parties and having the same purpose, and constitutes the entirety of the agreement between said Parties concerning said purpose. No supplement or modification to the terms and conditions hereof shall be effective as regards the Parties unless it is made in writing and signed by their duly authorized representatives."
INTERBASE PUBLIC LICENSE,N/A (Local Search Only),"The license is published by Borland Software Corporation. Only Borland Software Corporation can modify the terms applicable to Covered Code. The license can be modified used for code which is not already governed by this license. Modified versions of the license must be renamed to avoid confusion with Netscape?s or Interbase Software?s license and must include a description of changes from the Interbase Public License. The name of the license in Exhibit A is the ""Interbase Public License"". The reference to an alternative license in Exhibit A has been removed. Amendments I, II, III, V, and VI have been deleted. Exhibit A, Netscape Public License has been deleted A new amendment (II) has been added, describing the required and restricted rights to use the trademarks of Borland Software Corporation 7. DISCLAIMER OF WARRANTY.",The Interbase public license is based on the Mozilla Public License V 1.1 with the following changes:
NETSCAPE PUBLIC LICENSE Version 1.0,N/A (Local Search Only),AMENDMENTS Additional Terms applicable to the Netscape Public License.,"Except in cases where another Contributor has failed to comply with Section 3.4, You are responsible for damages arising, directly or indirectly, out of Your utilization of rights under this License, based on the number of copies of Covered Code you made available, the revenues you received from utilizing such rights, and other relevant factors. You agree to work with affected parties to distribute responsibility on an equitable basis."
Netscape Public LIcense version 1.1,N/A (Local Search Only),AMENDMENTS,Netscape Public LIcense version 1.1
Non-Profit Open Software License 3.0,N/A (Local Search Only),"17) Non-Profit Amendment. The name of this amended version of the Open Software License (""OSL 3.0"") is ""Non-Profit Open Software License 3.0"". The original OSL 3.0 license has been amended as follows:","16) Modification of This License. This License is Copyright © 2005 Lawrence Rosen. Permission is granted to copy, distribute, or communicate this License without modification. Nothing in this License permits You to modify this License as applied to the Original Work or to Derivative Works. However, You may modify the text of this License and copy, distribute or communicate your modified version (the ""Modified License"") and apply it to other original works of authorship subject to the following conditions: (i) You may not indicate in any way that your Modified License is the ""Open Software License"" or ""OSL"" and you may not use those names in the name of your Modified License; (ii) You must replace the notice specified in the first paragraph above with the notice ""Licensed under <insert your license name here>"" or with a notice of your own that is not confusingly similar to the notice in this License; and (iii) You may not claim that your original works are open source software unless your Modified License has been approved by Open Source Initiative (OSI) and You comply with its license review and certification process."
